2026-02-22 14:38:35 - User Input: 'Hi' | Predicted: greet (Conf: 97.33%)
2026-02-22 14:38:37 - User Input: 'Hi' | Predicted: greet (Conf: 97.33%)
2026-02-22 14:38:37 - User Input: 'Hi' | Predicted: greet (Conf: 97.33%)
2026-02-22 14:38:38 - User Input: 'Hi' | Predicted: greet (Conf: 97.33%)
2026-02-22 14:38:39 - User Input: 'Hi' | Predicted: greet (Conf: 97.33%)
2026-02-22 14:38:39 - User Input: 'Hi' | Predicted: greet (Conf: 97.33%)
2026-02-22 14:38:40 - User Input: 'Hi' | Predicted: greet (Conf: 97.33%)
2026-02-22 14:38:40 - User Input: 'Hi' | Predicted: greet (Conf: 97.33%)
2026-02-22 14:38:42 - User Input: 'Good bye' | Predicted: goodbye (Conf: 51.11%)
2026-02-22 14:38:45 - User Input: 'Goode ahfdjksafhljds' | Predicted: booking_request (Conf: 68.71%)
2026-02-22 14:38:46 - User Input: 'hjsadkfhljfhlakjsdhkfajsd' | Predicted: booking_request (Conf: 68.71%)
2026-02-22 14:38:47 - User Input: 'fdaslkjfhasldjkfas' | Predicted: booking_request (Conf: 68.71%)
2026-02-22 14:38:48 - User Input: 'adsfjklashdkjfhajlksd' | Predicted: booking_request (Conf: 68.71%)
2026-02-22 14:38:49 - User Input: 'dasfhkajsdhflkajds' | Predicted: booking_request (Conf: 68.71%)
2026-02-22 14:38:50 - User Input: 'safdjklhfjakds' | Predicted: booking_request (Conf: 68.71%)
2026-02-22 14:38:51 - User Input: 'Goodbye' | Predicted: goodbye (Conf: 97.36%)
2026-02-22 14:38:54 - User Input: 'Good bye' | Predicted: goodbye (Conf: 51.11%)
2026-02-22 14:38:58 - User Input: 'Halo' | Predicted: greet (Conf: 97.32%)
2026-02-22 14:38:59 - User Input: 'Helo' | Predicted: booking_request (Conf: 68.71%)
2026-02-22 14:39:01 - User Input: 'Nigga' | Predicted: booking_request (Conf: 68.71%)
2026-02-22 14:54:13 - User Input: 'p' | Predicted: booking_request (Conf: 68.71%)
2026-02-22 14:54:15 - User Input: 'Halo' | Predicted: greet (Conf: 97.32%)
2026-02-22 14:54:16 - User Input: 'Hi' | Predicted: greet (Conf: 97.33%)
2026-02-22 14:54:32 - User Input: 'Can i borrow kitchen for today and at 16.00-18.00?' | Predicted: check_availability (Conf: 51.11%)
2026-02-22 14:54:39 - User Input: 'Can i borrow dapur for today and at 16.00-18.00?' | Predicted: check_availability (Conf: 52.97%)
2026-02-22 14:54:49 - User Input: 'Can i borrow dapur' | Predicted: check_availability (Conf: 73.38%)
2026-02-22 14:55:02 - User Input: 'Can i borrow dapur at 22 Feb and at 16.00-18.00?' | Predicted: check_availability (Conf: 60.70%)
2026-02-22 15:16:55 - User Input: 'Hi' | Predicted: greet (Conf: 97.33%)
2026-02-22 15:17:11 - User Input: 'I want to book dapur at 23 Feb on 16.00-18.00' | Predicted: booking_request (Conf: 97.80%)
